branch_name	min_read	min_cells	min_pas_per_cell	max_gene_distance	utr_multiplier	include_extended	cluster_method	resolution	n_neighbors
SWb_min_read_500	500	3	50	5000	2.0	false	leiden_tfidf	1.0	30
SWb_min_read_3000	3000	3	50	5000	2.0	false	leiden_tfidf	1.0	30
SWb_min_cells_5	1500	5	50	5000	2.0	false	leiden_tfidf	1.0	30
SWb_min_cells_10	1500	10	50	5000	2.0	false	leiden_tfidf	1.0	30
SWb_min_pas_per_cell_20	1500	3	20	5000	2.0	false	leiden_tfidf	1.0	30
SWb_min_pas_per_cell_100	1500	3	100	5000	2.0	false	leiden_tfidf	1.0	30
SWb_max_gene_distance_1000	1500	3	50	1000	2.0	false	leiden_tfidf	1.0	30
SWb_max_gene_distance_2000	1500	3	50	2000	2.0	false	leiden_tfidf	1.0	30
SWb_max_gene_distance_3000	1500	3	50	3000	2.0	false	leiden_tfidf	1.0	30
SWb_max_gene_distance_10000	1500	3	50	10000	2.0	false	leiden_tfidf	1.0	30
SWb_utr_multiplier_1p5	1500	3	50	5000	1.5	false	leiden_tfidf	1.0	30
SWb_utr_multiplier_3p0	1500	3	50	5000	3.0	false	leiden_tfidf	1.0	30
SWb_include_extended_true	1500	3	50	5000	2.0	true	leiden_tfidf	1.0	30
SWb_resolution_0p5	1500	3	50	5000	2.0	false	leiden_tfidf	0.5	30
SWb_resolution_2p0	1500	3	50	5000	2.0	false	leiden_tfidf	2.0	30
SWb_n_neighbors_15	1500	3	50	5000	2.0	false	leiden_tfidf	1.0	15
SWb_n_neighbors_50	1500	3	50	5000	2.0	false	leiden_tfidf	1.0	50
SWb_cluster_method_leiden_libsize	1500	3	50	5000	2.0	false	leiden_libsize	1.0	30
