run,axis,run_id,timestamp,n_datasets,n_bams,merge_strategy,gtf,atlas,strategy,atlas_mode,atlas_distance,ip_filter,ip_filter_mode,annot_filter,default_threshold,lambda_window,lambda_method,lambda_fold_change,max_pas,smoothing_window,min_prominence,floor_threshold,pas_gap,min_pas_spacing,min_pas_prominence,merge_len,dynamic_threshold,max_gene_distance,utr_multiplier,include_extended,resolution,n_neighbors,ip_mode_effective,annot_mode_effective,param_source,min_read,min_cells,min_genes,min_pas_per_cell,count_n_ip_flagged,count_ip_flag_rate,count_n_datasets,count_final_cells_total,count_final_pas_total,cluster_method
B1_cohort_full,full cohort (downstream analyses),B1_cohort_full,2026-08-12T14:29:54.376778,17,122,before,Homo_sapiens.GRCh38.99.gtf,polyasite_3.0_GRCh38_ensembl_sorted.bed,lambda_gradient,annotate,50,True,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,5000,2.0,False,1.0,30,annotate,off,run_manifest,1500,3,50,50,24568.0,0.0814,17,,,
grid_lg_ip_filter,internal-priming mode,lg_ip_filter,2026-08-12T10:38:00.326659,6,48,before,Homo_sapiens.GRCh38.99.gtf,polyasite_3.0_GRCh38_ensembl_sorted.bed,lambda_gradient,annotate,50,True,filter,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,5000,2.0,False,1.0,30,filter,off,run_manifest,1500,3,50,50,16197.0,0.0772,6,,,
grid_lg_ip_off,internal-priming mode,lg_ip_off,2026-08-12T04:28:52.699952,6,48,before,Homo_sapiens.GRCh38.99.gtf,polyasite_3.0_GRCh38_ensembl_sorted.bed,lambda_gradient,annotate,50,False,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,5000,2.0,False,1.0,30,off,off,run_manifest,1500,3,50,50,,,6,,,
grid_lp_annotate,peak-calling strategy,lp_annotate,2026-08-12T10:26:28.224651,6,48,before,Homo_sapiens.GRCh38.99.gtf,polyasite_3.0_GRCh38_ensembl_sorted.bed,lambda_poisson,annotate,50,True,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,5000,2.0,False,1.0,30,annotate,off,run_manifest,1500,3,50,50,20985.0,0.0932,6,,,
grid_si_annotate,peak-calling strategy,si_annotate,2026-08-12T04:18:09.650765,6,48,before,Homo_sapiens.GRCh38.99.gtf,polyasite_3.0_GRCh38_ensembl_sorted.bed,sierra_iterative,annotate,50,True,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,5000,2.0,False,1.0,30,annotate,off,run_manifest,1500,3,50,50,25445.0,0.0756,6,,,
grid_lg_annotate,peak-calling strategy (baseline),lg_annotate,2026-08-12T04:27:34.844643,6,48,before,Homo_sapiens.GRCh38.99.gtf,polyasite_3.0_GRCh38_ensembl_sorted.bed,lambda_gradient,annotate,50,True,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,5000,2.0,False,1.0,30,annotate,off,run_manifest,1500,3,50,50,16197.0,0.0772,6,,,
reannotate_A2_trim_d10000_ext,trim / clustering re-annotation,A2_trim_d10000_ext,2026-08-12T14:44:34.035401,17,0,,Homo_sapiens.GRCh38.99.gtf,,lambda_gradient,annotate,50,False,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,10000,2.0,True,1.0,30,off,off,trim_cluster_grid.tsv (re-annotation branch),1500,3,50,50,,,17,55734.0,496445.0,leiden_tfidf
reannotate_A2_trim_d1000_ext,trim / clustering re-annotation,A2_trim_d1000_ext,2026-08-12T14:38:53.477453,17,0,,Homo_sapiens.GRCh38.99.gtf,,lambda_gradient,annotate,50,False,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,1000,2.0,True,1.0,30,off,off,trim_cluster_grid.tsv (re-annotation branch),1500,3,50,50,,,17,55647.0,467692.0,leiden_tfidf
reannotate_A2_trim_d2000_ext,trim / clustering re-annotation,A2_trim_d2000_ext,2026-08-12T14:44:35.675618,17,0,,Homo_sapiens.GRCh38.99.gtf,,lambda_gradient,annotate,50,False,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,2000,2.0,True,1.0,30,off,off,trim_cluster_grid.tsv (re-annotation branch),1500,3,50,50,,,17,55662.0,470624.0,leiden_tfidf
reannotate_A2_trim_d3000_ext,trim / clustering re-annotation,A2_trim_d3000_ext,2026-08-12T14:44:49.843653,17,0,,Homo_sapiens.GRCh38.99.gtf,,lambda_gradient,annotate,50,False,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,3000,2.0,True,1.0,30,off,off,trim_cluster_grid.tsv (re-annotation branch),1500,3,50,50,,,17,55676.0,473977.0,leiden_tfidf
reannotate_A2_trim_d5000_ext,trim / clustering re-annotation,A2_trim_d5000_ext,2026-08-12T14:44:49.783692,17,0,,Homo_sapiens.GRCh38.99.gtf,,lambda_gradient,annotate,50,False,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,5000,2.0,True,1.0,30,off,off,trim_cluster_grid.tsv (re-annotation branch),1500,3,50,50,,,17,55697.0,480751.0,leiden_tfidf
reannotate_A2_trim_default,trim / clustering re-annotation,A2_trim_default,2026-08-12T14:49:18.608171,17,0,,Homo_sapiens.GRCh38.99.gtf,,lambda_gradient,annotate,50,False,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,5000,2.0,False,1.0,30,off,off,trim_cluster_grid.tsv (re-annotation branch),1500,3,50,50,,,17,55422.0,424775.0,leiden_tfidf
reannotate_A2_trim_mult1.5,trim / clustering re-annotation,A2_trim_mult1.5,2026-08-12T14:48:34.447383,17,0,,Homo_sapiens.GRCh38.99.gtf,,lambda_gradient,annotate,50,False,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,5000,1.5,False,1.0,30,off,off,trim_cluster_grid.tsv (re-annotation branch),1500,3,50,50,,,17,55411.0,423045.0,leiden_tfidf
reannotate_A2_trim_mult3.0,trim / clustering re-annotation,A2_trim_mult3.0,2026-08-12T14:38:39.443386,17,0,,Homo_sapiens.GRCh38.99.gtf,,lambda_gradient,annotate,50,False,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,5000,3.0,False,1.0,30,off,off,trim_cluster_grid.tsv (re-annotation branch),1500,3,50,50,,,17,55440.0,428106.0,leiden_tfidf
reannotate_A3_libsize,trim / clustering re-annotation,A3_libsize,2026-08-12T14:43:52.050656,17,0,,Homo_sapiens.GRCh38.99.gtf,,lambda_gradient,annotate,50,False,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,5000,2.0,False,1.0,30,off,off,trim_cluster_grid.tsv (re-annotation branch),1500,3,50,50,,,17,55422.0,424775.0,leiden_libsize
reannotate_A3_nn15,trim / clustering re-annotation,A3_nn15,2026-08-12T14:38:34.674674,17,0,,Homo_sapiens.GRCh38.99.gtf,,lambda_gradient,annotate,50,False,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,5000,2.0,False,1.0,15,off,off,trim_cluster_grid.tsv (re-annotation branch),1500,3,50,50,,,17,55422.0,424775.0,leiden_tfidf
reannotate_A3_nn50,trim / clustering re-annotation,A3_nn50,2026-08-12T14:49:06.017830,17,0,,Homo_sapiens.GRCh38.99.gtf,,lambda_gradient,annotate,50,False,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,5000,2.0,False,1.0,50,off,off,trim_cluster_grid.tsv (re-annotation branch),1500,3,50,50,,,17,55422.0,424775.0,leiden_tfidf
reannotate_A3_res0.5,trim / clustering re-annotation,A3_res0.5,2026-08-12T14:38:39.668718,17,0,,Homo_sapiens.GRCh38.99.gtf,,lambda_gradient,annotate,50,False,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,5000,2.0,False,0.5,30,off,off,trim_cluster_grid.tsv (re-annotation branch),1500,3,50,50,,,17,55422.0,424775.0,leiden_tfidf
reannotate_A3_res2.0,trim / clustering re-annotation,A3_res2.0,2026-08-12T14:38:47.365178,17,0,,Homo_sapiens.GRCh38.99.gtf,,lambda_gradient,annotate,50,False,annotate,False,5,5000,median,2.0,5,50,5.0,3,100,-1,5.0,100,False,5000,2.0,False,2.0,30,off,off,trim_cluster_grid.tsv (re-annotation branch),1500,3,50,50,,,17,55422.0,424775.0,leiden_tfidf
