experiment	dataset	leiden	celltype	n_cells	celltype_match_rate	n_cells_dataset
B1_cohort_full	GSM3516662-StageIA	0	Macrophage M2	44	0.313	3418
B1_cohort_full	GSM3516662-StageIA	0	Monocytic	6	0.313	3418
B1_cohort_full	GSM3516662-StageIA	0	Pericytes	1	0.313	3418
B1_cohort_full	GSM3516662-StageIA	0	Serous Cells	71	0.313	3418
B1_cohort_full	GSM3516662-StageIA	0	unlabelled	36	0.313	3418
B1_cohort_full	GSM3516662-StageIA	1	DC	19	0.313	3418
B1_cohort_full	GSM3516662-StageIA	1	Macrophage M2	3	0.313	3418
B1_cohort_full	GSM3516662-StageIA	1	Monocytic	131	0.313	3418
B1_cohort_full	GSM3516662-StageIA	1	Serous Cells	5	0.313	3418
B1_cohort_full	GSM3516662-StageIA	1	unlabelled	17	0.313	3418
B1_cohort_full	GSM3516662-StageIA	10	Mast	56	0.313	3418
B1_cohort_full	GSM3516662-StageIA	10	unlabelled	169	0.313	3418
B1_cohort_full	GSM3516662-StageIA	11	Treg	21	0.313	3418
B1_cohort_full	GSM3516662-StageIA	11	unlabelled	350	0.313	3418
B1_cohort_full	GSM3516662-StageIA	12	DC	1	0.313	3418
B1_cohort_full	GSM3516662-StageIA	12	Treg	2	0.313	3418
B1_cohort_full	GSM3516662-StageIA	12	unlabelled	376	0.313	3418
B1_cohort_full	GSM3516662-StageIA	13	Pericytes	18	0.313	3418
B1_cohort_full	GSM3516662-StageIA	13	Vascular Smooth Muscle	73	0.313	3418
B1_cohort_full	GSM3516662-StageIA	13	unlabelled	57	0.313	3418
B1_cohort_full	GSM3516662-StageIA	14	unlabelled	206	0.313	3418
B1_cohort_full	GSM3516662-StageIA	2	AE2	2	0.313	3418
B1_cohort_full	GSM3516662-StageIA	2	Epithelial	4	0.313	3418
B1_cohort_full	GSM3516662-StageIA	2	Mucinous	23	0.313	3418
B1_cohort_full	GSM3516662-StageIA	2	unlabelled	47	0.313	3418
B1_cohort_full	GSM3516662-StageIA	3	AE2	84	0.313	3418
B1_cohort_full	GSM3516662-StageIA	3	Epithelial	119	0.313	3418
B1_cohort_full	GSM3516662-StageIA	3	Macrophage M2	1	0.313	3418
B1_cohort_full	GSM3516662-StageIA	3	Mucinous	165	0.313	3418
B1_cohort_full	GSM3516662-StageIA	3	Vascular Smooth Muscle	2	0.313	3418
B1_cohort_full	GSM3516662-StageIA	3	unlabelled	160	0.313	3418
B1_cohort_full	GSM3516662-StageIA	4	Serous Cells	1	0.313	3418
B1_cohort_full	GSM3516662-StageIA	4	Treg	1	0.313	3418
B1_cohort_full	GSM3516662-StageIA	4	unlabelled	73	0.313	3418
B1_cohort_full	GSM3516662-StageIA	5	DC	1	0.313	3418
B1_cohort_full	GSM3516662-StageIA	5	Treg	129	0.313	3418
B1_cohort_full	GSM3516662-StageIA	5	unlabelled	484	0.313	3418
B1_cohort_full	GSM3516662-StageIA	6	Treg	12	0.313	3418
B1_cohort_full	GSM3516662-StageIA	6	unlabelled	39	0.313	3418
