celltype	stage	n_rows	n_cells	n_genes	mean_total_reads	frac_zero_cov	mean_pdui_all	n_cov1	mean_pdui_cov1	n_cov5	mean_pdui_cov5	n_cov10	mean_pdui_cov10	n_cov20	mean_pdui_cov20
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	1642480	392	4190	0.122265	0.970133	0.01164088	48851	0.39059255	12777	0.41481736	222	0.45027365	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	2773780	662	4190	0.056101	0.986756	0.00506142	36564	0.38231351	10788	0.43310535	195	0.46530922	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Normal	427380	102	4190	0.138728	0.967177	0.01264673	13984	0.38566615	4138	0.40401361	109	0.44668872	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	IVprimary	553080	132	4190	0.114799	0.975400	0.00911338	13596	0.37056646	5482	0.40408989	78	0.47978210	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Met	632690	151	4190	0.130590	0.952076	0.01611400	28709	0.34331870	1498	0.43607930	9	0.46646615	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	StageI	4206760	1004	4190	0.072822	0.982155	0.00681433	74597	0.38308507	19805	0.42570485	245	0.46001810	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	Normal	997220	238	4190	0.161584	0.956695	0.01646918	42910	0.38117325	8060	0.42396469	150	0.45367882	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	Met	574030	137	4190	0.102111	0.966582	0.01160452	18353	0.35271283	1902	0.42456670	11	0.38658600	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	StageI	691350	165	4190	0.139079	0.958205	0.01533477	27950	0.37279681	3741	0.43322801	41	0.43737390	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	Normal	2962330	707	4190	0.069321	0.983956	0.00603399	47505	0.37617674	14488	0.42695811	153	0.47128273	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	IVprimary	314250	75	4190	0.116770	0.968299	0.01155004	9915	0.36476820	1675	0.43148714	17	0.46315500	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	Met	2111760	504	4190	0.074673	0.982021	0.00675828	37876	0.37595376	10378	0.43274760	87	0.46579735	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	StageI	636880	152	4190	0.066604	0.984813	0.00589340	9646	0.38868708	3218	0.42208082	18	0.44326305	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	Normal	1026550	245	4190	0.119398	0.968351	0.01261213	32233	0.39985094	6481	0.42308153	156	0.44251524	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	IVprimary	703920	168	4190	0.109457	0.971564	0.01055971	19997	0.37143002	3947	0.41715673	75	0.46294013	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	Met	2953950	705	4190	0.057950	0.986678	0.00492659	39298	0.36998901	12304	0.41154680	99	0.47180359	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	StageI	6917690	1651	4190	0.070420	0.983277	0.00659990	115545	0.39489420	33086	0.43082112	297	0.46119627	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	Normal	1932300	450	4294	0.316130	0.905930	0.03703133	180192	0.39493411	23296	0.41805445	329	0.45550040	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	IVprimary	373578	87	4294	0.058601	0.983214	0.00596881	6051	0.36115521	1067	0.45810562	10	0.44596623	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	Met	1717600	400	4294	0.046540	0.989891	0.00383307	17341	0.37946662	6583	0.41615732	40	0.44607042	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	StageI	1060618	247	4294	0.086630	0.977119	0.00911068	23883	0.40120890	4943	0.43374608	98	0.44997583	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	Normal	987620	230	4294	0.227831	0.948268	0.02070810	50666	0.40189562	17509	0.43291168	946	0.46451020	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	IVprimary	343520	80	4294	0.178956	0.946690	0.01949225	18073	0.36791677	1923	0.45888384	13	0.42658913	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	Met	601160	140	4294	0.065108	0.986516	0.00566348	8051	0.42112700	3593	0.45229960	45	0.45752485	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	StageI	1751952	408	4294	0.104461	0.973261	0.01045270	46050	0.39394810	11054	0.41830149	110	0.47244381	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	Normal	999012	196	5097	0.221053	0.949999	0.02006570	49916	0.40145036	16788	0.41850179	432	0.46001328	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	Met	856296	168	5097	0.079445	0.977740	0.00874334	18663	0.39562623	3474	0.44096348	28	0.46456747	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	StageI	3741198	734	5097	0.066056	0.984570	0.00617041	57604	0.40016086	17717	0.42764151	205	0.45632657	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	IVprimary	265375	55	4825	0.182265	0.958463	0.01666592	10967	0.40258652	3559	0.45160463	69	0.45680113	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	Met	815425	169	4825	0.098285	0.961423	0.01359719	29457	0.36128156	963	0.45937639	3	0.44661250	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	StageI	443900	92	4825	0.160540	0.952971	0.01719201	19948	0.37353828	3340	0.43717207	68	0.46899092	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1	Normal	1194150	285	4190	0.138502	0.960745	0.01538582	46410	0.39337688	7492	0.40872203	207	0.44400104	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1	IVprimary	393860	94	4190	0.103201	0.971888	0.01033313	11051	0.36785351	1717	0.41323001	26	0.44463612	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1	Met	339390	81	4190	0.027310	0.994932	0.00234227	1719	0.46215594	895	0.45024955	23	0.45828889	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	Normal	3243060	774	4190	0.196833	0.937116	0.02333374	199868	0.37395819	19496	0.40968667	174	0.43224207	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	IVprimary	1236050	295	4190	0.088307	0.976252	0.00856348	29266	0.36099747	5033	0.39861846	71	0.46101005	0	-1.00000000
