celltype	n_fisher_sig	n_nbmulti_sig	n_both	jaccard
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	7729	92	28	0.003593
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	13251	488	116	0.008515
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	12492	354	77	0.006030
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	11001	466	86	0.007556
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	15106	599	134	0.008606
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	13505	424	180	0.013092
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	14450	471	122	0.008244
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	18491	337	178	0.009544
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	9040	205	66	0.007190
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1	5252	156	44	0.008203
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	16658	603	130	0.007589
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST	8155	238	59	0.007079
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MESENCHYAL	5530	65	43	0.007745
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	16389	613	136	0.008064
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NE_CELLS	5929	64	13	0.002174
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NK_CELLS	4408	108	49	0.010969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	13141	222	58	0.004359
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS	14308	537	131	0.008903
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG	16308	596	141	0.008411
CELL_TYPES_WANSLEEBEN_HOGAN_2013_VASCULAR_ENDOTH	1336	32	2	0.001464
lung_epithelial_lineage_signatures_LECTIN_KRT5_B	8298	191	47	0.005567
lung_epithelial_lineage_signatures_MUCINOUS	16257	616	132	0.007885
lung_epithelial_lineage_signatures_PNECS	3979	78	13	0.003215
stem_cell_signatures_merged_NK_CELL_SPECIFIC_MAR	13029	391	91	0.006827
