celltype	strategy	contrast	n_tested	n_sig	frac_sig
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	fisher	Met_vs_Normal	15980	7729	0.483667
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	nb_multi	omnibus	94	92	0.978723
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	fisher	IVprimary_vs_Met	7913	3791	0.479085
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	fisher	IVprimary_vs_Normal	11040	5037	0.456250
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	fisher	IVprimary_vs_StageI	12956	6199	0.478466
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	fisher	Met_vs_Normal	10975	4771	0.434715
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	fisher	Met_vs_StageI	12899	6026	0.467168
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	fisher	Normal_vs_StageI	14731	7805	0.529835
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	nb_multi	omnibus	488	488	1.000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	fisher	Met_vs_Normal	16611	6919	0.416531
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	fisher	Met_vs_StageI	12333	6132	0.497203
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	fisher	Normal_vs_StageI	17054	8925	0.523338
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	nb_multi	omnibus	354	354	1.000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	fisher	IVprimary_vs_Met	7313	3209	0.438808
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	fisher	IVprimary_vs_Normal	11552	4590	0.397334
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	fisher	IVprimary_vs_StageI	8085	3264	0.403711
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	fisher	Met_vs_Normal	11515	5611	0.487277
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	fisher	Met_vs_StageI	8055	3802	0.472005
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	fisher	Normal_vs_StageI	11998	5270	0.439240
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	nb_multi	omnibus	466	466	1.000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	fisher	IVprimary_vs_Met	9350	4822	0.515722
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	fisher	IVprimary_vs_Normal	13023	5944	0.456423
