gene_set,n_in_universe,n_in_recurrent,frac_of_set_recurrent,expected_frac,odds_ratio,p_value,q_value
HALLMARK_MITOTIC_SPINDLE,146,112,0.7671232876712328,0.6438388625592417,1.8395561155691138,0.001609781365083366,0.0804890682541683
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,75,60,0.8,0.6438388625592417,2.226274655749907,0.004964198036104563,0.09677487907020883
HALLMARK_PROTEIN_SECRETION,84,66,0.7857142857142857,0.6438388625592417,2.040983606557377,0.00580649274421253,0.09677487907020883
HALLMARK_MYC_TARGETS_V2,28,11,0.39285714285714285,0.6438388625592417,0.3566400190908006,0.008856271674125579,0.10888907742753673
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,83,42,0.5060240963855421,0.6438388625592417,0.5633006441340378,0.010888907742753673,0.10888907742753673
HALLMARK_UV_RESPONSE_DN,98,74,0.7551020408163265,0.6438388625592417,1.715391791044776,0.019706983354374433,0.1642248612864536
HALLMARK_TGF_BETA_SIGNALING,42,34,0.8095238095238095,0.6438388625592417,2.359537037037037,0.023828919749041513,0.17020656963601083
HALLMARK_KRAS_SIGNALING_DN,49,24,0.4897959183673469,0.6438388625592417,0.5289759704251387,0.034945628527647835,0.21841017829779896
HALLMARK_APICAL_JUNCTION,105,59,0.5619047619047619,0.6438388625592417,0.706329625884732,0.08171859776857661,0.35563813395266025
HALLMARK_HEME_METABOLISM,118,85,0.7203389830508474,0.6438388625592417,1.431618484338619,0.08217435075928073,0.35563813395266025
HALLMARK_ESTROGEN_RESPONSE_LATE,100,56,0.56,0.6438388625592417,0.7009702829710267,0.09229302378799609,0.35563813395266025
HALLMARK_HEDGEHOG_SIGNALING,15,13,0.8666666666666667,0.6438388625592417,3.6019184652278176,0.10290438867238748,0.35563813395266025
HALLMARK_OXIDATIVE_PHOSPHORYLATION,124,71,0.5725806451612904,0.6438388625592417,0.7376292486252766,0.10794951588753489,0.35563813395266025
HALLMARK_P53_PATHWAY,125,72,0.576,0.6438388625592417,0.7481578965888538,0.11079620493134523,0.35563813395266025
HALLMARK_APICAL_SURFACE,23,11,0.4782608695652174,0.6438388625592417,0.5060851926977687,0.12535195223502446,0.35563813395266025
HALLMARK_ADIPOGENESIS,127,90,0.7086614173228346,0.6438388625592417,1.3514019258779737,0.1354504785224384,0.35563813395266025
HALLMARK_MYC_TARGETS_V1,148,104,0.7027027027027027,0.6438388625592417,1.3135254988913525,0.14129342081085522,0.35563813395266025
HALLMARK_MYOGENESIS,73,41,0.5616438356164384,0.6438388625592417,0.7065524754311144,0.14258338139037122,0.35563813395266025
HALLMARK_APOPTOSIS,102,73,0.7156862745098039,0.6438388625592417,1.3978413703053343,0.1452141764716725,0.35563813395266025
HALLMARK_PI3K_AKT_MTOR_SIGNALING,77,56,0.7272727272727273,0.6438388625592417,1.480104127928598,0.15094642433061106,0.35563813395266025
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,35,27,0.7714285714285715,0.6438388625592417,1.8713242093582394,0.15584000078795945,0.35563813395266025
HALLMARK_UV_RESPONSE_UP,93,53,0.5698924731182796,0.6438388625592417,0.7303382270953355,0.1564807789391705,0.35563813395266025
HALLMARK_IL6_JAK_STAT3_SIGNALING,46,34,0.7391304347826086,0.6438388625592417,1.5709259259259258,0.21683161641486448,0.4713730791627489
HALLMARK_ALLOGRAFT_REJECTION,128,89,0.6953125,0.6438388625592417,1.2667626106353889,0.22829024187188926,0.4756046705664359
HALLMARK_E2F_TARGETS,113,67,0.5929203539823009,0.6438388625592417,0.8032987419090901,0.2767300500021149,0.5534601000042298
HALLMARK_NOTCH_SIGNALING,18,14,0.7777777777777778,0.6438388625592417,1.938560885608856,0.32582420423635217,0.626585008146831
HALLMARK_INTERFERON_GAMMA_RESPONSE,125,86,0.688,0.6438388625592417,1.2233761003394512,0.34672175270306427,0.6420773198204893
HALLMARK_ESTROGEN_RESPONSE_EARLY,113,68,0.6017699115044248,0.6438388625592417,0.8338427133805442,0.3735943177254095,0.6671327102239456
HALLMARK_KRAS_SIGNALING_UP,99,68,0.6868686868686869,0.6438388625592417,1.2161398530773209,0.3996294470879135,0.6890162880826094
HALLMARK_INTERFERON_ALPHA_RESPONSE,60,42,0.7,0.6438388625592417,1.293026706231454,0.4179561146333205,0.6965935243888676
HALLMARK_SPERMATOGENESIS,49,29,0.5918367346938775,0.6438388625592417,0.801054579093432,0.45676710029153866,0.7250869098560837
HALLMARK_MTORC1_SIGNALING,141,95,0.6737588652482269,0.6438388625592417,1.1449791118675539,0.47919250130351987,0.7250869098560837
HALLMARK_DNA_REPAIR,83,57,0.6867469879518072,0.6438388625592417,1.21500407719489,0.48963389157564347,0.7250869098560837
HALLMARK_PEROXISOME,59,41,0.6949152542372882,0.6438388625592417,1.2620063044687557,0.49549081634998393,0.7250869098560837
HALLMARK_INFLAMMATORY_RESPONSE,123,83,0.6747967479674797,0.6438388625592417,1.1501495047654644,0.5075608368992586,0.7250869098560837
