celltype	strategy	stage	n_rows	n_units	n_cells	frac_zero_cov	mean_all	sd_all	n_cov	mean_cov	sd_cov
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	classic	Normal	1642480	4190	392	0.970133	0.011641	0.094094	49056	0.389757	0.386085
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	classic	Met	2773780	4190	662	0.986756	0.005061	0.062974	36737	0.382156	0.394109
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	proportion	Normal	8809024	7378	392	0.000000	0.328320	0.308833	8809024	0.328320	0.308833
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	proportion	Met	14876464	7378	662	0.000000	0.328320	0.307543	14876464	0.328320	0.307543
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	shannon	Normal	2892176	7378	392	0.959892	0.561545	0.491406	116000	0.679562	0.315870
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	shannon	Met	4884236	7378	662	0.982035	0.564920	0.493561	87746	0.680522	0.309685
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	classic	Normal	427380	4190	102	0.967177	0.012647	0.098361	14028	0.385298	0.388812
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	classic	IVprimary	553080	4190	132	0.975400	0.009113	0.085357	13606	0.370456	0.402870
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	classic	Met	632690	4190	151	0.952076	0.016114	0.104982	30321	0.336241	0.349760
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	classic	StageI	4206760	4190	1004	0.982155	0.006814	0.072747	75070	0.381860	0.391592
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	proportion	Normal	2292144	7378	102	0.000000	0.328320	0.309116	2292144	0.328320	0.309116
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	proportion	IVprimary	2966304	7378	132	0.000000	0.328320	0.308832	2966304	0.328320	0.308832
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	proportion	Met	3393272	7378	151	0.000000	0.328320	0.308846	3393272	0.328320	0.308846
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	proportion	StageI	22561888	7378	1004	0.000000	0.328320	0.307861	22561888	0.328320	0.307861
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	shannon	Normal	752556	7378	102	0.955698	0.560836	0.491013	33340	0.664302	0.324825
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	shannon	IVprimary	973896	7378	132	0.963492	0.561606	0.491574	35555	0.645951	0.322188
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	shannon	Met	1114078	7378	151	0.937360	0.561402	0.490914	69786	0.713765	0.347509
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	shannon	StageI	7407512	7378	1004	0.974983	0.564075	0.493000	185315	0.678316	0.323230
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	classic	Normal	997220	4190	238	0.956695	0.016469	0.110096	43185	0.380303	0.376210
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	classic	Met	574030	4190	137	0.966582	0.011605	0.090761	19183	0.347252	0.360482
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	classic	StageI	691350	4190	165	0.958205	0.015335	0.105447	28895	0.366904	0.370199
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	proportion	Normal	5348336	7378	238	0.000000	0.328320	0.309486	5348336	0.328320	0.309486
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	proportion	Met	3078664	7378	137	0.000000	0.328320	0.308372	3078664	0.328320	0.308372
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	proportion	StageI	3707880	7378	165	0.000000	0.328320	0.309162	3707880	0.328320	0.309162
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	shannon	Normal	1755964	7378	238	0.944210	0.559773	0.490160	97965	0.685463	0.324033
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	shannon	Met	1010786	7378	137	0.955737	0.562715	0.491948	44740	0.690670	0.349369
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	shannon	StageI	1217370	7378	165	0.943473	0.560655	0.490642	68814	0.685157	0.341772
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	classic	Normal	2962330	4190	707	0.983956	0.006034	0.068938	47529	0.376079	0.396280
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	classic	IVprimary	314250	4190	75	0.968299	0.011550	0.093302	9962	0.364344	0.382192
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	classic	Met	2111760	4190	504	0.982021	0.006758	0.072600	37968	0.375892	0.392939
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	classic	StageI	636880	4190	152	0.984813	0.005893	0.068276	9672	0.388067	0.398305
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	proportion	Normal	15887704	7378	707	0.000000	0.328320	0.307804	15887704	0.328320	0.307804
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	proportion	IVprimary	1685400	7378	75	0.000000	0.328320	0.308844	1685400	0.328320	0.308844
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	proportion	Met	11325888	7378	504	0.000000	0.328320	0.307909	11325888	0.328320	0.307909
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	proportion	StageI	3415744	7378	152	0.000000	0.328320	0.307759	3415744	0.328320	0.307759
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	shannon	Normal	5216246	7378	707	0.978118	0.564232	0.493143	114142	0.673652	0.311752
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	shannon	IVprimary	553350	7378	75	0.953722	0.561499	0.491250	25608	0.682972	0.332917
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	shannon	Met	3718512	7378	504	0.976611	0.563976	0.492977	86972	0.682672	0.305742
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	shannon	StageI	1121456	7378	152	0.978391	0.564360	0.493227	24233	0.663258	0.322065
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	classic	Normal	1026550	4190	245	0.968351	0.012612	0.097105	32489	0.398504	0.379682
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	classic	IVprimary	703920	4190	168	0.971564	0.010560	0.089684	20017	0.371344	0.385840
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	classic	Met	2953950	4190	705	0.986678	0.004927	0.062465	39352	0.369813	0.397435
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	classic	StageI	6917690	4190	1651	0.983277	0.006600	0.071875	115687	0.394652	0.394670
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	proportion	Normal	5505640	7378	245	0.000000	0.328320	0.308713	5505640	0.328320	0.308713
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	proportion	IVprimary	3775296	7378	168	0.000000	0.328320	0.308667	3775296	0.328320	0.308667
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	proportion	Met	15842760	7378	705	0.000000	0.328320	0.307536	15842760	0.328320	0.307536
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	proportion	StageI	37101272	7378	1651	0.000000	0.328320	0.307851	37101272	0.328320	0.307851
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	shannon	Normal	1807610	7378	245	0.957879	0.561856	0.491520	76138	0.691934	0.323085
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	shannon	IVprimary	1239504	7378	168	0.958505	0.561963	0.491600	51433	0.673441	0.334227
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	shannon	Met	5201490	7378	705	0.982687	0.564928	0.493590	90055	0.666727	0.312800
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	shannon	StageI	12181078	7378	1651	0.975760	0.564107	0.493045	295267	0.667623	0.326363
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	classic	Normal	1932300	4294	450	0.905930	0.037031	0.160904	181772	0.393656	0.367195
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	classic	IVprimary	373578	4294	87	0.983214	0.005969	0.066909	6271	0.355576	0.377332
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	classic	Met	1717600	4294	400	0.989891	0.003833	0.055591	17363	0.379179	0.404213
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	classic	StageI	1060618	4294	247	0.977119	0.009111	0.082806	24268	0.398177	0.380467
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	proportion	Normal	10435500	7621	450	0.000000	0.328633	0.314302	10435500	0.328633	0.314302
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	proportion	IVprimary	2017530	7621	87	0.000000	0.328633	0.309439	2017530	0.328633	0.309439
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	proportion	Met	9276000	7621	400	0.000000	0.328633	0.309169	9276000	0.328633	0.309169
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	proportion	StageI	5727930	7621	247	0.000000	0.328633	0.309927	5727930	0.328633	0.309927
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	shannon	Normal	3429450	7621	450	0.876907	0.547205	0.484885	422141	0.707381	0.322739
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	shannon	IVprimary	663027	7621	87	0.975253	0.560177	0.493858	16408	0.701862	0.329997
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	shannon	Met	3048400	7621	400	0.985845	0.560906	0.494445	43150	0.656332	0.311978
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	shannon	StageI	1882387	7621	247	0.967826	0.558890	0.493041	60563	0.693615	0.324827
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	classic	Normal	987620	4294	230	0.948268	0.020708	0.124609	51092	0.400292	0.384970
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	classic	IVprimary	343520	4294	80	0.946690	0.019492	0.119190	18313	0.365641	0.374055
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	classic	Met	601160	4294	140	0.986516	0.005663	0.067401	8106	0.420017	0.403576
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	classic	StageI	1751952	4294	408	0.973261	0.010453	0.088959	46845	0.390919	0.383705
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	proportion	Normal	5333700	7621	230	0.000000	0.328633	0.312156	5333700	0.328633	0.312156
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	proportion	IVprimary	1855200	7621	80	0.000000	0.328633	0.311732	1855200	0.328633	0.311732
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	proportion	Met	3246600	7621	140	0.000000	0.328633	0.309521	3246600	0.328633	0.309521
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	proportion	StageI	9461520	7621	408	0.000000	0.328633	0.310319	9461520	0.328633	0.310319
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	shannon	Normal	1752830	7621	230	0.933720	0.552955	0.489356	116177	0.660586	0.328089
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	shannon	IVprimary	609680	7621	80	0.926703	0.554081	0.489696	44688	0.688394	0.339538
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	shannon	Met	1066940	7621	140	0.980480	0.559991	0.493935	20827	0.650370	0.320832
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL	shannon	StageI	3109368	7621	408	0.962665	0.557883	0.492443	116089	0.684889	0.323516
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	classic	Normal	999012	5097	196	0.949999	0.020066	0.123962	49952	0.401303	0.392852
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	classic	Met	856296	5097	168	0.977740	0.008743	0.080643	19061	0.392786	0.375910
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	classic	StageI	3741198	5097	734	0.984570	0.006170	0.069505	57728	0.399888	0.394506
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	proportion	Normal	5889604	8357	196	0.000000	0.278112	0.291180	5889604	0.278112	0.291180
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	proportion	Met	5048232	8357	168	0.000000	0.278112	0.288454	5048232	0.278112	0.288454
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	proportion	StageI	22055966	8357	734	0.000000	0.278112	0.288268	22055966	0.278112	0.288268
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	shannon	Normal	1637972	8357	196	0.921236	0.597482	0.480837	129013	0.707953	0.297933
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	shannon	Met	1403976	8357	168	0.964885	0.605387	0.485192	49301	0.727643	0.314658
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	shannon	StageI	6134038	8357	734	0.974490	0.605942	0.485605	156478	0.723056	0.289893
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	classic	IVprimary	265375	4825	55	0.958463	0.016666	0.113927	11023	0.401226	0.397719
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	classic	Met	815425	4825	169	0.961423	0.013597	0.095875	31457	0.352465	0.344724
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	classic	StageI	443900	4825	92	0.952971	0.017192	0.109934	20876	0.365565	0.360038
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	proportion	IVprimary	1292390	8522	55	0.000000	0.362669	0.311693	1292390	0.362669	0.311693
