run,strategy,bin_lo,bin_hi,count,frac,n_total,median_distance
lg_annotate,lambda_gradient,0,10.0,22541,0.9961111847629148,22629,0.0
lg_annotate,lambda_gradient,10,25.0,14,0.0006186751513544567,22629,0.0
lg_annotate,lambda_gradient,25,50.0,19,0.0008396305625524769,22629,0.0
lg_annotate,lambda_gradient,50,100.0,28,0.0012373503027089134,22629,0.0
lg_annotate,lambda_gradient,100,200.0,5,0.00022095541119802024,22629,0.0
lg_annotate,lambda_gradient,200,500.0,11,0.0004861019046356445,22629,0.0
lg_annotate,lambda_gradient,500,1000.0,9,0.00039771974015643646,22629,0.0
lg_annotate,lambda_gradient,1000,2000.0,0,0.0,22629,0.0
lg_annotate,lambda_gradient,2000,5000.0,2,8.83821644792081e-05,22629,0.0
lg_annotate,lambda_gradient,5000,10000.0,0,0.0,22629,0.0
lg_annotate,lambda_gradient,10000,inf,0,0.0,22629,0.0
lg_ip_filter,lambda_gradient (ip=filter),0,10.0,20521,0.9959233195826256,20605,0.0
lg_ip_filter,lambda_gradient (ip=filter),10,25.0,12,0.0005823829167677749,20605,0.0
lg_ip_filter,lambda_gradient (ip=filter),25,50.0,18,0.0008735743751516622,20605,0.0
lg_ip_filter,lambda_gradient (ip=filter),50,100.0,28,0.0013588934724581413,20605,0.0
lg_ip_filter,lambda_gradient (ip=filter),100,200.0,5,0.0002426595486532395,20605,0.0
lg_ip_filter,lambda_gradient (ip=filter),200,500.0,10,0.000485319097306479,20605,0.0
lg_ip_filter,lambda_gradient (ip=filter),500,1000.0,9,0.0004367871875758311,20605,0.0
lg_ip_filter,lambda_gradient (ip=filter),1000,2000.0,0,0.0,20605,0.0
lg_ip_filter,lambda_gradient (ip=filter),2000,5000.0,2,9.70638194612958e-05,20605,0.0
lg_ip_filter,lambda_gradient (ip=filter),5000,10000.0,0,0.0,20605,0.0
lg_ip_filter,lambda_gradient (ip=filter),10000,inf,0,0.0,20605,0.0
lg_ip_off,lambda_gradient (ip=off),0,10.0,22541,0.9961111847629148,22629,0.0
lg_ip_off,lambda_gradient (ip=off),10,25.0,14,0.0006186751513544567,22629,0.0
lg_ip_off,lambda_gradient (ip=off),25,50.0,19,0.0008396305625524769,22629,0.0
lg_ip_off,lambda_gradient (ip=off),50,100.0,28,0.0012373503027089134,22629,0.0
lg_ip_off,lambda_gradient (ip=off),100,200.0,5,0.00022095541119802024,22629,0.0
lg_ip_off,lambda_gradient (ip=off),200,500.0,11,0.0004861019046356445,22629,0.0
lg_ip_off,lambda_gradient (ip=off),500,1000.0,9,0.00039771974015643646,22629,0.0
lg_ip_off,lambda_gradient (ip=off),1000,2000.0,0,0.0,22629,0.0
lg_ip_off,lambda_gradient (ip=off),2000,5000.0,2,8.83821644792081e-05,22629,0.0
lg_ip_off,lambda_gradient (ip=off),5000,10000.0,0,0.0,22629,0.0
lg_ip_off,lambda_gradient (ip=off),10000,inf,0,0.0,22629,0.0
lp_annotate,lambda_poisson,0,10.0,21320,0.9930135072193759,21470,0.0
lp_annotate,lambda_poisson,10,25.0,25,0.0011644154634373545,21470,0.0
lp_annotate,lambda_poisson,25,50.0,38,0.0017699115044247787,21470,0.0
lp_annotate,lambda_poisson,50,100.0,49,0.0022822543083372148,21470,0.0
lp_annotate,lambda_poisson,100,200.0,10,0.0004657661853749418,21470,0.0
lp_annotate,lambda_poisson,200,500.0,14,0.0006520726595249185,21470,0.0
lp_annotate,lambda_poisson,500,1000.0,11,0.0005123428039124359,21470,0.0
lp_annotate,lambda_poisson,1000,2000.0,1,4.6576618537494175e-05,21470,0.0
lp_annotate,lambda_poisson,2000,5000.0,2,9.315323707498835e-05,21470,0.0
lp_annotate,lambda_poisson,5000,10000.0,0,0.0,21470,0.0
lp_annotate,lambda_poisson,10000,inf,0,0.0,21470,0.0
si_annotate,sierra_iterative,0,10.0,42784,0.9944448318341352,43023,0.0
si_annotate,sierra_iterative,10,25.0,44,0.001022708783673849,43023,0.0
si_annotate,sierra_iterative,25,50.0,53,0.0012318992166980452,43023,0.0
si_annotate,sierra_iterative,50,100.0,71,0.001650280082746438,43023,0.0
si_annotate,sierra_iterative,100,200.0,24,0.0005578411547311903,43023,0.0
si_annotate,sierra_iterative,200,500.0,22,0.0005113543918369244,43023,0.0
si_annotate,sierra_iterative,500,1000.0,13,0.0003021639588127281,43023,0.0
si_annotate,sierra_iterative,1000,2000.0,5,0.00011621690723566465,43023,0.0
si_annotate,sierra_iterative,2000,5000.0,5,0.00011621690723566465,43023,0.0
si_annotate,sierra_iterative,5000,10000.0,2,4.6486762894265855e-05,43023,0.0
si_annotate,sierra_iterative,10000,inf,0,0.0,43023,0.0
