celltype	stage	rank_bucket	n_rows	mean_prop_all	n_cov	mean_prop_cov
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	1	8809024	0.32831969	8809024	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	1	14876464	0.32831969	14876464	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	IVprimary	1	2966304	0.32831969	2966304	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Normal	1	2292144	0.32831969	2292144	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	StageI	1	22561888	0.32831969	22561888	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Met	1	3393272	0.32831969	3393272	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	Normal	1	5348336	0.32831969	5348336	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	StageI	1	3707880	0.32831969	3707880	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS	Met	1	3078664	0.32831969	3078664	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	IVprimary	1	1685400	0.32831969	1685400	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	Normal	1	15887704	0.32831969	15887704	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	StageI	1	3415744	0.32831969	3415744	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK	Met	1	11325888	0.32831969	11325888	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	IVprimary	1	3775296	0.32831969	3775296	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	Normal	1	5505640	0.32831969	5505640	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	StageI	1	37101272	0.32831969	37101272	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC	Met	1	15842760	0.32831969	15842760	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	IVprimary	1	2017530	0.32863303	2017530	0.32863303
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	Normal	1	10435500	0.32863303	10435500	0.32863303
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL	StageI	1	5727930	0.32863303	5727930	0.32863303
