gene_id,n_celltypes_trending,n_decreasing,mean_slope,mean_abs_spearman,n_increasing,dominant_direction,direction_consistency,n_celltypes_tested,recurrence_frac,symbol
ENSG00000092820,19,18,-0.011587125450847474,0.9528886684995449,1,decreasing,0.9473684210526315,24,0.7916666666666666,EZR
ENSG00000124151,19,14,-0.00519603514171699,0.9528886684995449,5,decreasing,0.7368421052631579,23,0.8260869565217391,NCOA3
ENSG00000143702,19,17,-0.018144064347549792,0.9485382530118567,2,decreasing,0.8947368421052632,24,0.7916666666666666,CEP170
ENSG00000152484,19,17,-0.007254893937710911,0.9387860794242225,2,decreasing,0.8947368421052632,22,0.8636363636363636,USP12
ENSG00000136448,18,14,-0.042623851833471525,0.9605653333142443,4,decreasing,0.7777777777777778,22,0.8181818181818182,NMT1
ENSG00000068305,18,16,-0.012439737516861228,0.9559732280772403,2,decreasing,0.8888888888888888,24,0.75,MEF2A
ENSG00000011566,18,16,-0.04125893483755137,0.9531223001911577,2,decreasing,0.8888888888888888,24,0.75,MAP4K3
ENSG00000102218,18,18,-0.02074326150963886,0.9531223001911577,0,decreasing,1.0,22,0.8181818181818182,RP2
ENSG00000204899,18,18,-0.007852274063105343,0.9474204444189928,0,decreasing,1.0,22,0.8181818181818182,MZT1
ENSG00000150977,18,16,-0.020971920817898216,0.9456792670680709,2,decreasing,0.8888888888888888,24,0.75,RILPL2
ENSG00000123130,18,17,-0.02184374647017815,0.9428283391819884,1,decreasing,0.9444444444444444,24,0.75,ACOT9
ENSG00000149177,18,15,0.030355636615333168,0.9410871618310667,3,decreasing,0.8333333333333334,24,0.75,PTPRJ
ENSG00000153989,17,14,-0.014528252882365028,0.9503647884376965,3,decreasing,0.8235294117647058,22,0.7727272727272727,NUS1
ENSG00000172164,17,15,-0.013294718375751665,0.9503647884376965,2,decreasing,0.8823529411764706,24,0.7083333333333334,SNTB1
ENSG00000124209,17,17,-0.01241965516834776,0.9473461589112562,0,decreasing,1.0,24,0.7083333333333334,RAB22A
