gene_id,symbol,n_celltypes_trending,n_celltypes_tested,dominant_direction,mean_slope,in_cgc,in_oncokb,is_oncogene,is_tsg
ENSG00000092820,EZR,19,24,decreasing,-0.0115871254508474,True,False,False,False
ENSG00000143702,CEP170,19,24,decreasing,-0.0181440643475497,False,False,False,False
ENSG00000152484,USP12,19,22,decreasing,-0.0072548939377109,False,False,False,False
ENSG00000124151,NCOA3,19,23,decreasing,-0.0051960351417169,False,True,True,False
ENSG00000150977,RILPL2,18,24,decreasing,-0.0209719208178982,False,False,False,False
ENSG00000149177,PTPRJ,18,24,decreasing,0.0303556366153331,False,False,False,False
ENSG00000123130,ACOT9,18,24,decreasing,-0.0218437464701781,False,False,False,False
ENSG00000204899,MZT1,18,22,decreasing,-0.0078522740631053,False,False,False,False
ENSG00000102218,RP2,18,22,decreasing,-0.0207432615096388,False,False,False,False
ENSG00000011566,MAP4K3,18,24,decreasing,-0.0412589348375513,False,False,False,False
ENSG00000068305,MEF2A,18,24,decreasing,-0.0124397375168612,False,False,False,False
ENSG00000136448,NMT1,18,22,decreasing,-0.0426238518334715,False,False,False,False
ENSG00000105287,PRKD2,17,24,decreasing,-0.0093292216764675,False,False,False,False
ENSG00000147044,CASK,17,24,decreasing,-0.0389612720981676,False,False,False,False
ENSG00000178935,ZNF552,17,22,decreasing,-0.0095118022822091,False,False,False,False
ENSG00000152495,CAMK4,17,24,decreasing,-0.0073388069371884,False,False,False,False
ENSG00000206199,ANKUB1,17,19,decreasing,-0.0229447228887206,False,False,False,False
ENSG00000164933,SLC25A32,17,24,decreasing,-0.033566263832387,False,False,False,False
ENSG00000136205,TNS3,17,24,decreasing,-0.0407501744097697,False,False,False,False
ENSG00000124209,RAB22A,17,24,decreasing,-0.0124196551683477,False,False,False,False
ENSG00000172164,SNTB1,17,24,decreasing,-0.0132947183757516,False,False,False,False
ENSG00000153989,NUS1,17,22,decreasing,-0.014528252882365,False,False,False,False
ENSG00000083457,ITGAE,17,24,decreasing,-0.0208224554705874,False,False,False,False
ENSG00000149269,PAK1,16,24,decreasing,-0.0126032421571884,False,True,True,False
ENSG00000115137,DNAJC27,16,24,decreasing,-0.0102269267936853,False,False,False,False
ENSG00000198887,SMC5,16,24,decreasing,-0.0532635820564823,False,False,False,False
ENSG00000154122,ANKH,16,24,decreasing,-0.0130540559634807,False,False,False,False
ENSG00000170145,SIK2,16,24,decreasing,-0.0069981325937725,False,False,False,False
ENSG00000102908,NFAT5,16,24,decreasing,-0.0099443057176879,False,False,False,False
ENSG00000168255,POLR2J3,16,24,decreasing,-0.006840717227513,False,False,False,False
ENSG00000196369,SRGAP2B,16,24,decreasing,-0.0099406647920848,False,False,False,False
ENSG00000152270,PDE3B,16,24,decreasing,-0.0227080424460629,False,False,False,False
ENSG00000185946,RNPC3,16,23,decreasing,-0.0335609270742827,False,False,False,False
ENSG00000174579,MSL2,16,24,decreasing,-0.015811907813522,False,False,False,False
ENSG00000120594,PLXDC2,16,24,decreasing,-0.0049215841491553,False,False,False,False
ENSG00000198730,CTR9,16,24,decreasing,-0.0117749572959264,False,True,False,True
ENSG00000225190,PLEKHM1,16,19,decreasing,-0.0086457653836087,False,False,False,False
ENSG00000112339,HBS1L,16,24,decreasing,-0.0187254068587158,False,False,False,False
ENSG00000012779,ALOX5,16,24,decreasing,-0.0076835897288876,False,True,False,False
ENSG00000064651,SLC12A2,16,24,decreasing,-0.0141049304344434,False,False,False,False
ENSG00000043462,LCP2,16,24,decreasing,-0.0090017351594037,False,False,False,False
ENSG00000171621,SPSB1,16,24,decreasing,-0.0049198824762045,False,False,False,False
ENSG00000184640,SEPTIN9,16,24,decreasing,-0.010527410811654,False,False,False,False
ENSG00000198382,UVRAG,16,24,decreasing,-0.0189306641055834,False,False,False,False
ENSG00000125686,MED1,16,24,decreasing,-0.0077602135114844,False,False,False,False
ENSG00000179218,CALR,16,21,decreasing,-0.0131496839122593,True,True,True,False
ENSG00000140332,TLE3,16,24,decreasing,-0.0034412234916976,False,True,False,False
ENSG00000130340,SNX9,16,24,decreasing,-0.0138438260011295,False,False,False,False
ENSG00000145687,SSBP2,16,24,decreasing,-0.0026001623948487,False,False,False,False
ENSG00000185418,TARS3,16,24,decreasing,-0.0327934388841842,False,False,False,False
ENSG00000139083,ETV6,15,24,decreasing,-0.006914860914005,True,True,False,True
ENSG00000167193,CRK,15,24,decreasing,-0.0713978563394082,False,False,False,False
ENSG00000147416,ATP6V1B2,15,23,decreasing,-0.0206531929169814,False,True,False,True
ENSG00000163659,TIPARP,15,21,decreasing,-0.0641166710867411,False,False,False,False
ENSG00000164346,NSA2,15,20,decreasing,-0.0065082612562013,False,False,False,False
ENSG00000064703,DDX20,15,22,decreasing,-0.0011674240178663,False,False,False,False
ENSG00000105576,TNPO2,15,22,decreasing,-0.012161034287655,False,False,False,False
ENSG00000136643,RPS6KC1,15,24,decreasing,-0.0083326441703634,False,False,False,False
ENSG00000109906,ZBTB16,15,24,decreasing,-0.0086601057475332,True,False,False,False
ENSG00000129636,ITFG1,15,24,decreasing,-0.0108835577832439,False,False,False,False
ENSG00000197442,MAP3K5,15,24,decreasing,-0.0256505656944676,False,False,False,False
ENSG00000080503,SMARCA2,15,24,decreasing,-0.0089509909585521,False,True,False,True
ENSG00000134480,CCNH,15,23,decreasing,-0.0027192786028947,False,False,False,False
ENSG00000068796,KIF2A,15,24,decreasing,-0.0134251878800307,False,False,False,False
ENSG00000167081,PBX3,15,23,decreasing,-0.0086773797381791,False,False,False,False
ENSG00000119326,CTNNAL1,15,22,decreasing,-0.0214423450958049,False,False,False,False
ENSG00000118263,KLF7,15,24,decreasing,-0.0080163116402177,False,False,False,False
ENSG00000073711,PPP2R3A,15,24,decreasing,-0.0068506358137931,False,False,False,False
ENSG00000111684,LPCAT3,15,23,decreasing,-0.0552769470316449,False,False,False,False
ENSG00000133943,DGLUCY,15,21,decreasing,-0.0065127607597055,False,False,False,False
ENSG00000147649,MTDH,15,24,decreasing,-0.0049632440388289,False,False,False,False
ENSG00000105939,ZC3HAV1,15,24,decreasing,-0.0209423969285957,False,False,False,False
ENSG00000102312,PORCN,15,19,decreasing,-0.01690418008823,False,False,False,False
ENSG00000065989,PDE4A,15,23,decreasing,-0.0057850252606081,False,False,False,False
ENSG00000203705,TATDN3,15,18,decreasing,-0.0079985626359445,False,False,False,False
ENSG00000171345,KRT19,15,22,decreasing,-0.019002624932009,False,False,False,False
ENSG00000240445,FOXO3B,15,24,decreasing,-0.0359565654940772,False,False,False,False
ENSG00000188342,GTF2F2,15,18,decreasing,-0.0232994386929932,False,False,False,False
ENSG00000125944,HNRNPR,15,24,decreasing,-0.0029857093320416,False,False,False,False
ENSG00000099917,MED15,15,24,decreasing,-0.0234379977765603,False,False,False,False
ENSG00000147010,SH3KBP1,15,24,decreasing,-0.0080265781700815,False,False,False,False
ENSG00000114062,UBE3A,15,24,decreasing,0.0057912671893775,False,False,False,False
ENSG00000283765,AC131160.1,15,24,decreasing,-0.0065502605743359,False,False,False,False
ENSG00000171943,SRGAP2C,15,24,decreasing,-0.0060071742869727,False,False,False,False
ENSG00000110429,FBXO3,15,23,decreasing,-0.0083734905772772,False,False,False,False
ENSG00000127603,MACF1,15,23,decreasing,-0.0118641811891742,False,False,False,False
ENSG00000105339,DENND3,15,18,decreasing,-0.0253572545673461,False,False,False,False
ENSG00000118058,KMT2A,15,15,decreasing,-0.0261932479656641,True,True,False,True
ENSG00000010810,FYN,15,24,decreasing,-0.019576701475095,False,True,True,False
ENSG00000102974,CTCF,15,21,decreasing,-0.0148018688795752,True,True,False,True
ENSG00000034677,RNF19A,15,24,decreasing,-0.0062087619560496,False,False,False,False
ENSG00000011007,ELOA,15,19,decreasing,-0.009408744385676,False,False,False,False
ENSG00000024048,UBR2,15,24,decreasing,-0.011357581705751,False,False,False,False
ENSG00000198585,NUDT16,14,22,decreasing,-0.0431764561570184,False,False,False,False
ENSG00000082898,XPO1,14,19,decreasing,-0.0080192489995004,True,True,True,False
ENSG00000004866,ST7,14,22,decreasing,-0.0034273946938629,False,False,False,False
ENSG00000186645,SPDYE17,14,24,decreasing,-0.0100489724726859,False,False,False,False
ENSG00000116406,EDEM3,14,24,decreasing,-0.0040064694496873,False,False,False,False
ENSG00000063046,EIF4B,14,24,decreasing,-0.007036871543002,False,False,False,False
ENSG00000126457,PRMT1,14,19,decreasing,-0.0081847931374086,False,False,False,False
ENSG00000122484,RPAP2,14,18,decreasing,-0.015325415210934,False,False,False,False
ENSG00000107554,DNMBP,14,23,decreasing,-0.0395518538825629,False,False,False,False
ENSG00000159023,EPB41,14,24,decreasing,-0.0060962339343634,False,False,False,False
ENSG00000166501,PRKCB,14,23,decreasing,-0.0070287626806805,False,True,True,False
ENSG00000125970,RALY,14,24,decreasing,-0.0037512927012965,False,False,False,False
ENSG00000086189,DIMT1,14,24,decreasing,-0.0060614035113571,False,False,False,False
ENSG00000087157,PGS1,14,22,decreasing,0.0033573777740914,False,False,False,False
ENSG00000155100,OTUD6B,14,17,decreasing,-0.0065859934541515,False,False,False,False
ENSG00000198682,PAPSS2,14,24,decreasing,-0.0209915807609088,False,False,False,False
ENSG00000006451,RALA,14,24,decreasing,-0.0047969771468897,False,False,False,False
ENSG00000160563,MED27,14,23,decreasing,-0.0148616244699357,False,False,False,False
ENSG00000230124,ACBD6,14,19,decreasing,-0.0195985676792011,False,False,False,False
ENSG00000116786,PLEKHM2,14,20,decreasing,-0.0065036503685021,False,False,False,False
ENSG00000186635,ARAP1,14,24,decreasing,-0.0117125893008626,False,False,False,False
ENSG00000109220,CHIC2,14,24,decreasing,-0.0076285892754772,False,False,False,False
ENSG00000131374,TBC1D5,14,24,decreasing,-0.0041658310898405,False,False,False,False
ENSG00000262633,AC005670.2,14,16,decreasing,-0.0107275697654274,False,False,False,False
ENSG00000135838,NPL,14,17,decreasing,0.0032336671009438,False,False,False,False
ENSG00000127152,BCL11B,14,24,decreasing,-0.0035598773264634,True,True,False,True
ENSG00000145216,FIP1L1,14,24,decreasing,-0.0040561430223203,True,False,False,False
ENSG00000115183,TANC1,14,23,decreasing,-0.0065886604101055,False,False,False,False
ENSG00000196405,EVL,14,23,decreasing,-0.0069551622338942,False,False,False,False
ENSG00000176658,MYO1D,14,24,decreasing,-0.011748225675861,False,False,False,False
ENSG00000135049,AGTPBP1,14,24,decreasing,-0.0214835909052453,False,False,False,False
ENSG00000101493,ZNF516,14,23,decreasing,-0.0012654848489053,False,False,False,False
ENSG00000180957,PITPNB,14,24,decreasing,0.0043230552712705,False,False,False,False
ENSG00000027075,PRKCH,14,24,decreasing,-0.0122772379602023,False,False,False,False
ENSG00000121964,GTDC1,14,23,decreasing,-0.0070830979366208,False,False,False,False
ENSG00000260729,AC009690.1,14,24,decreasing,-0.0185243947867895,False,False,False,False
ENSG00000050344,NFE2L3,14,24,decreasing,-0.0040706844333503,False,False,False,False
ENSG00000173120,KDM2A,14,24,decreasing,-0.0083210195286124,False,False,False,False
ENSG00000080189,SLC35C2,14,19,decreasing,-0.0174199607869035,False,False,False,False
ENSG00000012660,ELOVL5,14,24,decreasing,-0.0184729331637517,False,False,False,False
ENSG00000115904,SOS1,14,23,decreasing,-0.0289500351662141,False,True,True,False
ENSG00000266094,RASSF5,14,21,decreasing,-0.0110438501226366,False,False,False,False
ENSG00000164327,RICTOR,14,24,decreasing,-0.0085857547715022,False,True,True,False
ENSG00000103489,XYLT1,14,24,decreasing,-0.0058211216098401,False,False,False,False
ENSG00000011295,TTC19,14,24,decreasing,-0.0509282216025771,False,False,False,False
ENSG00000119402,FBXW2,14,24,decreasing,-0.0037986098077873,False,True,False,False
ENSG00000164808,SPIDR,14,24,decreasing,-0.0464067808700243,False,False,False,False
ENSG00000144283,PKP4,14,22,decreasing,-0.0167455246209846,False,False,False,False
ENSG00000101901,ALG13,14,22,decreasing,-0.0123524698046677,False,False,False,False
ENSG00000015153,YAF2,14,24,decreasing,-0.0123921887404391,False,False,False,False
ENSG00000143924,EML4,14,24,decreasing,-0.0057964746964432,True,True,True,False
ENSG00000066855,MTFR1,14,17,decreasing,-0.0315657309018851,False,False,False,False
ENSG00000132680,KHDC4,14,22,decreasing,-0.0050955407594318,False,False,False,False
ENSG00000075426,FOSL2,14,23,decreasing,-0.0084108001654684,False,False,False,False
ENSG00000197579,TOPORS,14,18,decreasing,-0.0225123695295474,False,False,False,False
