run,strategy,cutoff_bp,n_predicted,n_reference,precision,recall,f1,matched_predicted,matched_reference,atlas_pas_per_call,mean_peak_width,median_peak_width
si_annotate,sierra_iterative,50,43035,18432135,0.9964,0.0448,0.0857,42882,825078,19.172255141164168,676.7289647960962,522.0
lg_annotate,lambda_gradient,50,22633,18432135,0.9974,0.0298,0.0579,22574,549403,24.274422303715813,821.2672204303451,640.0
lg_ip_off,lambda_gradient (ip=off),50,22633,18432135,0.9974,0.0298,0.0579,22574,549403,24.274422303715813,821.2672204303451,640.0
lg_ip_filter,lambda_gradient (ip=filter),50,20609,18432135,0.9972,0.027,0.0527,20551,498584,24.19253724101121,817.3050608957252,636.0
lp_annotate,lambda_poisson,50,21474,18432135,0.9959,0.0172,0.0338,21386,316811,14.753236472012667,440.38879575300365,403.0
si_annotate,sierra_iterative,100,43035,18432135,0.9981,0.0501,0.0954,42952,923123,21.450517021029395,676.7289647960962,522.0
lg_annotate,lambda_gradient,100,22633,18432135,0.9986,0.0326,0.0632,22602,601230,26.564308752706225,821.2672204303451,640.0
lg_ip_off,lambda_gradient (ip=off),100,22633,18432135,0.9986,0.0326,0.0632,22602,601230,26.564308752706225,821.2672204303451,640.0
lg_ip_filter,lambda_gradient (ip=filter),100,20609,18432135,0.9985,0.0296,0.0575,20579,546085,26.49740404677568,817.3050608957252,636.0
lp_annotate,lambda_poisson,100,21474,18432135,0.998,0.0201,0.0393,21432,369931,17.22692558442768,440.38879575300365,403.0
si_annotate,sierra_iterative,200,43035,18432135,0.9986,0.0582,0.11,42976,1072952,24.932078540722667,676.7289647960962,522.0
lg_annotate,lambda_gradient,200,22633,18432135,0.9989,0.0371,0.0716,22607,684695,30.252065567975965,821.2672204303451,640.0
lg_ip_off,lambda_gradient (ip=off),200,22633,18432135,0.9989,0.0371,0.0716,22607,684695,30.252065567975965,821.2672204303451,640.0
lg_ip_filter,lambda_gradient (ip=filter),200,20609,18432135,0.9988,0.0337,0.0653,20584,622073,30.184531030132465,817.3050608957252,636.0
lp_annotate,lambda_poisson,200,21474,18432135,0.9986,0.0248,0.0485,21443,458014,21.328769674955762,440.38879575300365,403.0
si_annotate,sierra_iterative,500,43035,18432135,0.9991,0.0789,0.1463,42998,1454922,33.807877309166955,676.7289647960962,522.0
lg_annotate,lambda_gradient,500,22633,18432135,0.9993,0.049,0.0934,22618,903340,39.912517121017984,821.2672204303451,640.0
lg_ip_off,lambda_gradient (ip=off),500,22633,18432135,0.9993,0.049,0.0934,22618,903340,39.912517121017984,821.2672204303451,640.0
lg_ip_filter,lambda_gradient (ip=filter),500,20609,18432135,0.9993,0.0447,0.0855,20594,823121,39.93988063467417,817.3050608957252,636.0
lp_annotate,lambda_poisson,500,21474,18432135,0.9992,0.0376,0.0724,21456,692756,32.26022166340691,440.38879575300365,403.0
si_annotate,sierra_iterative,1000,43035,18432135,0.9994,0.1089,0.1964,43011,2006810,46.63204368537237,676.7289647960962,522.0
lg_annotate,lambda_gradient,1000,22633,18432135,0.9997,0.0669,0.1254,22627,1233134,54.48389519727831,821.2672204303451,640.0
lg_ip_off,lambda_gradient (ip=off),1000,22633,18432135,0.9997,0.0669,0.1254,22627,1233134,54.48389519727831,821.2672204303451,640.0
lg_ip_filter,lambda_gradient (ip=filter),1000,20609,18432135,0.9997,0.0613,0.1155,20603,1129666,54.814207385123005,817.3050608957252,636.0
lp_annotate,lambda_poisson,1000,21474,18432135,0.9997,0.0562,0.1064,21467,1035224,48.208251839433736,440.38879575300365,403.0
si_annotate,sierra_iterative,5000,43035,18432135,0.9997,0.2526,0.4033,43021,4655888,108.18840478680144,676.7289647960962,522.0
lg_annotate,lambda_gradient,5000,22633,18432135,0.9998,0.1642,0.2821,22629,3026246,133.70945080192638,821.2672204303451,640.0
lg_ip_off,lambda_gradient (ip=off),5000,22633,18432135,0.9998,0.1642,0.2821,22629,3026246,133.70945080192638,821.2672204303451,640.0
lp_annotate,lambda_poisson,5000,21474,18432135,0.9998,0.1545,0.2676,21470,2847155,132.58615069386235,440.38879575300365,403.0
lg_ip_filter,lambda_gradient (ip=filter),5000,20609,18432135,0.9998,0.154,0.2669,20605,2838963,137.75355427240527,817.3050608957252,636.0
