run_a,run_b,n_a,n_b,n_a_matched_in_b,n_b_matched_in_a,frac_a_in_b,frac_b_in_a,jaccard_approx
lg_annotate,lg_ip_filter,22633,20609,20642,20609,0.912031105023638,1.0,0.9539568012580362
lg_annotate,lg_ip_off,22633,22633,22633,22633,1.0,1.0,1.0
lg_annotate,lp_annotate,22633,21474,21434,21468,0.947024256616445,0.9997205923442303,0.9726800734577278
lg_annotate,si_annotate,22633,43035,22633,22809,1.0,0.5300104566050888,0.691996101601998
lg_ip_filter,lg_ip_off,20609,22633,20609,20642,1.0,0.912031105023638,0.9539568012580362
lg_ip_filter,lp_annotate,20609,21474,19522,19575,0.9472560531806492,0.9115674769488684,0.9290449825345152
lg_ip_filter,si_annotate,20609,43035,20609,20815,1.0,0.48367607761124665,0.6508704669725347
lg_ip_off,lp_annotate,22633,21474,21434,21468,0.947024256616445,0.9997205923442303,0.9726800734577278
lg_ip_off,si_annotate,22633,43035,22633,22809,1.0,0.5300104566050888,0.691996101601998
lp_annotate,si_annotate,21474,43035,21468,21557,0.9997205923442303,0.5009178575578018,0.666961199212513
