celltype,Normal,StageI,IVprimary,Met
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MESENCHYAL,0.045912,,,0.003167
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL,0.037031,0.009111,0.005969,0.003833
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2,0.023334,0.01044,0.008563,0.005429
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC,0.020316,0.008091,0.008628,0.004602
lung_epithelial_lineage_signatures_PNECS,,0.017432,,0.008897
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1,0.015386,,0.010333,0.002342
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NE_CELLS,,0.019983,,0.012183
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL,0.020708,0.010453,0.019492,0.005663
lung_epithelial_lineage_signatures_LECTIN_KRT5_B,0.017442,0.004235,0.01035,
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS,0.016265,0.009612,0.008168,0.005161
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL,0.020066,0.00617,,0.008743
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T,0.011641,,,0.005061
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NK_CELLS,,0.009918,,0.005771
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC,0.012612,0.0066,0.01056,0.004927
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS,,0.017192,0.016666,0.013597
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST,0.010749,0.00547,0.007173,
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS,0.016469,0.015335,,0.011605
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG,0.010164,0.005895,0.00617,0.004615
lung_epithelial_lineage_signatures_MUCINOUS,0.011349,0.009777,0.012025,0.00848
stem_cell_signatures_merged_NK_CELL_SPECIFIC_MAR,0.006892,0.007162,,0.005545
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES,,0.010846,0.008014,0.011298
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK,0.006034,0.005893,0.01155,0.006758
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2,0.012647,0.006814,0.009113,0.016114
CELL_TYPES_WANSLEEBEN_HOGAN_2013_VASCULAR_ENDOTH,,0.003956,0.010834,
