celltype,contrast,n_tests,n_sig,frac_sig
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T,Met_vs_Normal,15980,7729,0.4837
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2,IVprimary_vs_Met,7913,3791,0.4791
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2,IVprimary_vs_Normal,11040,5037,0.4562
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2,IVprimary_vs_StageI,12956,6199,0.4785
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2,Met_vs_Normal,10975,4771,0.4347
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2,Met_vs_StageI,12899,6026,0.4672
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2,Normal_vs_StageI,14731,7805,0.5298
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS,Met_vs_Normal,16611,6919,0.4165
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS,Met_vs_StageI,12333,6132,0.4972
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS,Normal_vs_StageI,17054,8925,0.5233
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK,IVprimary_vs_Met,7313,3209,0.4388
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK,IVprimary_vs_Normal,11552,4590,0.3973
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK,IVprimary_vs_StageI,8085,3264,0.4037
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK,Met_vs_Normal,11515,5611,0.4873
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK,Met_vs_StageI,8055,3802,0.472
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK,Normal_vs_StageI,11998,5270,0.4392
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC,IVprimary_vs_Met,9350,4822,0.5157
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC,IVprimary_vs_Normal,13023,5944,0.4564
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC,IVprimary_vs_StageI,13702,6600,0.4817
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC,Met_vs_Normal,13590,7346,0.5405
