gsm,pas_cells,gex_cells,matched_cells,coverage,ARI_gexleiden_vs_pas,AMI_gexleiden_vs_pas,ARI_celltype_vs_pas,AMI_celltype_vs_pas,n_gex_clusters,n_pas_clusters,n_celltypes
GSM3516662-StageIA,3418,1070,1070,0.313,0.4723,0.7391,0.5445,0.7634,15,14,12
GSM3516663-StageIA,4657,3070,3070,0.6592,0.5236,0.6565,0.5736,0.6616,16,14,11
GSM3516664-MetBone,1350,922,922,0.683,0.3394,0.4918,0.226,0.3667,10,10,6
GSM3516665-StageIVprimary,3659,1822,1822,0.498,0.5241,0.7207,0.4939,0.7124,19,15,17
GSM3516666-Normal,3001,1229,1229,0.4095,0.1822,0.5116,0.2591,0.5334,18,15,14
GSM3516667-StageIA,4160,2890,2890,0.6947,0.4037,0.576,0.4407,0.5798,21,13,14
GSM3516668-MetBrain,4133,1132,1132,0.2739,0.2795,0.5667,0.3719,0.5966,11,14,9
GSM3516669-StageIIA,3420,1114,1114,0.3257,0.4386,0.6518,0.4627,0.6527,17,15,15
GSM3516670-StageIB,1036,367,367,0.3542,0.4564,0.6826,0.4564,0.6826,9,10,9
GSM3516671-MetBrain,1277,860,860,0.6735,0.2738,0.4238,0.2441,0.3877,14,13,11
GSM3516672-StageIB,4247,1606,1606,0.3781,0.6712,0.8063,0.6611,0.7795,22,16,15
GSM3516673-Normal,3979,2206,2206,0.5544,0.2122,0.4798,0.2002,0.4469,19,16,16
GSM3516674-StageIA,4923,1954,1954,0.3969,0.6311,0.7889,0.6705,0.7739,20,16,14
GSM3516675-Normal,2660,2312,2312,0.8692,0.4227,0.6544,0.4218,0.618,17,16,11
GSM3516676-Normal,3315,2792,2792,0.8422,0.5586,0.6931,0.5793,0.6878,19,15,14
GSM3516677-MetAdrenal,2946,2236,2236,0.759,0.613,0.6834,0.6155,0.6792,17,13,14
GSM3516678-MetBrain,3241,1481,1481,0.457,0.4997,0.7202,0.6513,0.7185,16,15,11
