celltype,n_stages,slope,spearman,direction,pdui_Normal,pdui_StageI,pdui_IVprimary,pdui_Met
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MESENCHYAL,2,-0.014248485486032997,-0.9999999999999999,decreasing,0.045912,,,0.003167
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ENDOTHELIAL,4,-0.010273664141528664,-1.0,decreasing,0.037031,0.009111,0.005969,0.003833
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2,4,-0.005558977659432592,-1.0,decreasing,0.023334,0.01044,0.008563,0.005429
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC,4,-0.004660371597846192,-0.7999999999999999,decreasing,0.020316,0.008091,0.008628,0.004602
lung_epithelial_lineage_signatures_PNECS,2,-0.004267740241905909,-0.9999999999999999,decreasing,,0.017432,,0.008897
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1,3,-0.0040876364830495695,-1.0,decreasing,0.015386,,0.010333,0.002342
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NE_CELLS,2,-0.003900392451103193,-0.9999999999999999,decreasing,,0.019983,,0.012183
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EPITHELIAL,4,-0.003609433119634653,-0.7999999999999999,decreasing,0.020708,0.010453,0.019492,0.005663
lung_epithelial_lineage_signatures_LECTIN_KRT5_B,3,-0.003545971159195332,-0.5,decreasing,0.017442,0.004235,0.01035,
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS,4,-0.003475808852113103,-1.0,decreasing,0.016265,0.009612,0.008168,0.005161
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL,3,-0.003051178488003151,-0.5,decreasing,0.020066,0.00617,,0.008743
CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T,2,-0.0021931533366468564,-0.9999999999999999,decreasing,0.011641,,,0.005061
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NK_CELLS,2,-0.0020735380691475134,-0.9999999999999999,decreasing,,0.009918,,0.005771
CELL_TYPES_WANSLEEBEN_HOGAN_2013_DC,4,-0.0019096825847329565,-0.7999999999999999,decreasing,0.012612,0.0066,0.01056,0.004927
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS,3,-0.0017974102913508924,-1.0,decreasing,,0.017192,0.016666,0.013597
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST,3,-0.0017879105425111306,-0.5,decreasing,0.010749,0.00547,0.007173,
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CILIATED_CELLS,3,-0.0016563468235761454,-1.0,decreasing,0.016469,0.015335,,0.011605
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG,4,-0.0016370528221583199,-0.7999999999999999,decreasing,0.010164,0.005895,0.00617,0.004615
lung_epithelial_lineage_signatures_MUCINOUS,4,-0.0006357936778153309,-0.39999999999999997,decreasing,0.011349,0.009777,0.012025,0.00848
stem_cell_signatures_merged_NK_CELL_SPECIFIC_MAR,3,-0.0005003344686998092,-0.5,decreasing,0.006892,0.007162,,0.005545
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES,3,0.00022635838776407786,0.5,increasing,,0.010846,0.008014,0.011298
CELL_TYPES_WANSLEEBEN_HOGAN_2013_CYTOTOXIC_T_NK,4,0.0007829522935701624,0.6000000000000001,increasing,0.006034,0.005893,0.01155,0.006758
CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2,4,0.0012700857925514464,0.39999999999999997,increasing,0.012647,0.006814,0.009113,0.016114
CELL_TYPES_WANSLEEBEN_HOGAN_2013_VASCULAR_ENDOTH,2,0.006878072761231536,0.9999999999999999,increasing,,0.003956,0.010834,
