gene_id,strand,lost_len,ctrl_len,lost_at_frac,ctrl_at_frac,lost_are_pent,ctrl_are_pent,lost_are_nona,ctrl_are_nona,lost_miR-34a-5p,ctrl_miR-34a-5p,lost_let-7a-5p,ctrl_let-7a-5p,lost_miR-21-5p,ctrl_miR-21-5p,lost_miR-221-3p,ctrl_miR-221-3p,lost_miR-17-5p,ctrl_miR-17-5p,lost_miR-155-5p,ctrl_miR-155-5p,symbol,lost_seed_total,ctrl_seed_total
ENSG00000001167,+,14270,14270,0.6044148563419762,0.5788367203924317,29,32,0,1,0,0,1,2,3,1,0,1,4,5,0,2,NFYA,8,11
ENSG00000002549,+,24413,24413,0.5612583459632163,0.5311923974931388,48,22,7,0,0,2,2,2,0,5,2,1,5,5,0,2,LAP3,9,17
ENSG00000002586,+,48876,48876,0.5296259923070628,0.5285211555773794,73,60,4,8,4,1,2,1,1,2,1,6,9,18,2,2,CD99,19,30
ENSG00000002834,+,4191,4191,0.4569315199236459,0.41970890002386063,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,LASP1,2,2
ENSG00000003400,+,11235,11235,0.5777481085892301,0.5758789497107254,29,17,3,2,1,0,0,3,0,0,1,0,2,2,1,3,CASP10,5,8
ENSG00000003509,+,23523,23523,0.6233473621561876,0.6075330527568763,71,54,6,1,3,1,2,0,0,2,1,1,8,9,4,0,NDUFAF7,18,13
ENSG00000003756,+,1912,1912,0.5627615062761506,0.5444560669456067,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,RBM5,1,1
ENSG00000004468,+,21784,21784,0.5996603011384503,0.6013587954461991,56,56,2,1,0,0,4,2,0,4,0,1,3,1,1,0,CD38,8,8
ENSG00000004487,+,42636,42636,0.6111971104231166,0.5712543390561966,112,82,5,3,3,4,3,2,2,1,4,2,11,10,2,9,KDM1A,25,28
ENSG00000004866,+,41745,41745,0.6164810156905018,0.6320756976883459,138,124,8,1,2,3,2,4,1,5,1,1,8,7,5,3,ST7,19,23
ENSG00000005059,+,49087,49087,0.5993643938313606,0.5808869965571333,141,114,7,2,5,1,4,4,4,3,1,2,12,11,3,3,MCUB,29,24
ENSG00000005486,+,10968,10968,0.4721006564551422,0.5167760758570387,7,10,0,0,2,0,1,1,0,0,0,0,7,6,2,0,RHBDD2,12,7
ENSG00000005884,+,27846,27846,0.4871435753788695,0.4683257918552036,52,23,14,0,3,6,0,1,0,0,4,0,10,5,0,1,ITGA3,17,13
ENSG00000006451,+,12619,12619,0.6101117362707029,0.5992550915286473,32,29,0,0,1,0,1,1,0,0,1,1,2,4,2,2,RALA,7,8
ENSG00000006740,+,15556,15556,0.490164566726665,0.5289920287991772,12,15,0,0,4,2,1,3,0,0,0,0,9,4,0,0,ARHGAP44,14,9
ENSG00000007129,+,19627,19627,0.528048097009222,0.5768584093340806,27,53,0,8,3,1,1,0,0,0,0,0,0,3,2,1,CEACAM21,6,5
ENSG00000007545,+,24961,24961,0.44433315972917753,0.4797884700132206,19,21,0,1,3,4,1,5,0,0,2,0,5,6,1,1,CRAMP1,12,16
ENSG00000008394,+,5239,5239,0.5800725329261309,0.621301775147929,7,20,0,0,0,1,1,0,0,0,0,0,0,0,0,1,MGST1,1,2
ENSG00000008853,+,1274,1274,0.3901098901098901,0.41836734693877553,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,RHOBTB2,0,1
ENSG00000009780,+,26606,26606,0.5649101706382019,0.5450650229271593,54,49,6,5,1,1,5,2,1,0,0,0,13,14,2,1,FAM76A,22,18
ENSG00000009790,+,16317,16317,0.5532879818594104,0.5518784090212662,23,23,0,0,1,1,0,1,2,2,0,0,3,3,2,1,TRAF3IP3,8,8
ENSG00000010270,+,2787,2787,0.5403659849300323,0.6268388948690348,4,11,0,1,0,1,0,0,0,0,0,0,0,0,0,1,STARD3NL,0,2
ENSG00000010278,+,26107,26107,0.4973761826330103,0.4868809131650515,27,35,0,1,5,3,0,0,0,0,2,1,4,15,0,1,CD9,11,20
ENSG00000010704,+,2586,2586,0.5522041763341067,0.49729311678267596,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,HFE,0,2
ENSG00000011007,+,4513,4513,0.608021271881232,0.4923554176822513,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ELOA,0,0
ENSG00000011295,+,22607,22607,0.5836687751581369,0.6097226522758438,39,77,2,5,1,1,1,3,1,2,0,0,4,6,4,1,TTC19,11,13
ENSG00000011478,+,319,319,0.4890282131661442,0.4608150470219436,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QPCTL,0,0
ENSG00000011523,+,21912,21912,0.520627966411099,0.5450438116100766,35,35,1,1,3,2,0,2,1,1,0,0,13,5,0,1,CEP68,17,11
ENSG00000012174,+,25667,25667,0.6209140141037129,0.6083297619511435,66,85,1,0,0,2,1,2,2,3,1,0,6,9,2,4,MBTPS2,12,20
ENSG00000012232,+,21858,21858,0.570043004849483,0.5524750663372678,40,44,2,2,2,0,3,0,1,2,2,2,7,4,0,1,EXTL3,15,9
ENSG00000012779,+,42775,42775,0.5405260081823495,0.5488953828170661,63,43,0,1,4,2,3,3,3,2,2,2,5,5,4,3,ALOX5,21,17
ENSG00000013364,+,11347,11347,0.4540407156076496,0.4782761963514585,3,10,0,0,0,1,0,1,0,0,0,0,9,5,0,0,MVP,9,7
ENSG00000013573,+,10641,10641,0.46198665538953104,0.46020110891833477,6,8,0,0,5,0,0,0,0,0,1,1,2,1,0,0,DDX11,8,2
ENSG00000014123,+,11697,11697,0.6705992989655467,0.674788407283919,36,66,4,2,2,0,1,0,0,1,2,1,0,0,1,2,UFL1,6,4
ENSG00000015285,+,6018,6018,0.48886673313393153,0.5109670987038883,3,3,0,0,2,0,1,1,0,0,0,0,0,1,1,0,WAS,4,2
ENSG00000017797,+,23799,23799,0.5841842094205639,0.6023362326148157,45,55,0,5,0,1,3,1,1,2,1,0,6,8,2,4,RALBP1,13,16
ENSG00000019169,+,281,281,0.6405693950177936,0.44483985765124556,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,MARCO,0,2
ENSG00000019995,+,10868,10868,0.5927493559072506,0.603974972396025,23,24,2,3,1,0,1,3,0,0,0,1,2,2,0,1,ZRANB1,4,7
ENSG00000022267,+,2622,2622,0.6060259344012204,0.6056445461479787,8,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,FHL1,2,0
ENSG00000022840,+,39878,39878,0.5509554140127388,0.5371884246953207,68,51,5,4,5,2,4,4,3,2,1,0,15,16,1,0,RNF10,29,24
ENSG00000023330,+,10367,10367,0.5465419118356323,0.4968650525706569,12,13,0,2,2,4,0,1,0,2,0,0,2,3,0,0,ALAS1,4,10
ENSG00000023445,+,13063,13063,0.6353058256143306,0.5824083288677946,42,31,3,3,1,0,3,1,0,0,0,1,4,3,4,1,BIRC3,12,6
ENSG00000023697,+,32776,32776,0.6061142299243348,0.6076397363924823,94,95,5,6,2,1,1,0,1,1,3,3,6,4,2,1,DERA,15,10
ENSG00000023902,+,6319,6319,0.5211267605633803,0.485203354961228,2,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PLEKHO1,1,0
ENSG00000028137,+,30307,30307,0.4478833272841258,0.4728610552017686,14,22,0,2,5,7,1,1,0,0,1,3,8,8,0,0,TNFRSF1B,15,19
ENSG00000028528,+,35682,35682,0.5623003194888179,0.5795639257889131,61,91,3,3,3,4,2,5,1,1,3,0,12,16,3,1,SNX1,24,27
ENSG00000028839,+,11491,11491,0.6452005917674702,0.6267513706378905,34,28,0,0,0,1,0,0,1,0,1,0,1,1,3,1,TBPL1,6,3
ENSG00000029725,+,21275,21275,0.6094007050528789,0.5979318448883666,51,53,2,2,1,0,1,0,1,3,2,1,9,7,2,1,RABEP1,16,12
ENSG00000030582,+,4470,4470,0.40246085011185684,0.46241610738255035,1,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,GRN,0,4
ENSG00000031698,+,320,320,0.3625,0.340625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SARS1,0,0
ENSG00000033627,+,220,220,0.6090909090909091,0.6363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATP6V0A1,0,0
ENSG00000034152,+,12228,12228,0.45305855413804386,0.40906117108276085,8,4,0,0,0,0,3,1,1,0,0,0,0,1,1,1,MAP2K3,5,3
ENSG00000037757,+,248,248,0.5564516129032258,0.4717741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MRI1,0,0
ENSG00000039319,+,48497,48497,0.6309256242654184,0.6019341402560983,174,123,7,5,4,5,3,1,3,3,2,2,8,11,5,2,ZFYVE16,25,24
ENSG00000039523,+,10972,10972,0.3940029165147649,0.4410317170980678,0,8,0,0,2,1,1,1,0,0,0,0,1,2,0,0,RIPOR1,4,4
ENSG00000040933,+,15081,15081,0.540945560639215,0.4784828592268417,29,18,1,1,2,3,1,0,0,3,0,2,1,3,2,0,INPP4A,6,11
ENSG00000042832,+,2861,2861,0.518000699056274,0.5354771059070255,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TG,0,1
