gene_id	celltype	stage	pas_id	rank	chrom	start	end	strand	n_cells	n_cells_expr	reads
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12766	1	1	97792345	97792757	-	392	1	4.5
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12800	1	1	97907849	97908610	-	392	31	93.3
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12767	1	1	97797542	97797834	-	392	2	11.4
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12596	1	1	97187222	97188304	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12781	1	1	97849598	97849893	-	392	3	16.9
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12768	1	1	97800255	97801101	-	392	2	12.2
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12617	1	1	97264168	97264734	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12783	1	1	97854352	97854586	-	392	1	5.7
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12632	1	1	97314551	97314906	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12571	1	1	97097421	97097688	-	392	9	28.9
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12635	1	1	97333155	97333948	-	662	1	6.6
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12788	1	1	97873090	97873232	-	392	2	11.3
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12638	1	1	97346100	97346845	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12654	1	1	97390771	97391562	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12578	1	1	97130731	97131216	-	392	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12591	1	1	97180194	97180488	-	392	5	30.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12655	1	1	97392446	97392881	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12579	1	1	97133097	97133761	-	392	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12670	1	1	97429534	97429824	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12672	1	1	97432354	97432942	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12659	1	1	97400568	97402062	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12596	1	1	97187222	97188304	-	392	1	5.5
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12617	1	1	97264168	97264734	-	392	3	16.4
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12632	1	1	97314551	97314906	-	392	29	94.2
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12710	1	1	97557226	97557683	-	662	5	34.2
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12690	1	1	97484548	97485981	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12677	1	1	97440492	97441735	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12711	1	1	97559609	97560022	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12635	1	1	97333155	97333948	-	392	0	0.0
